n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
335            0.01            3.35             inf             inf       -nan(ind)             inf               0               0               0               0
336            0.01            3.36             inf             inf       -nan(ind)             inf               0               0               0               0
337            0.01            3.37             inf             inf       -nan(ind)             inf               0               0               0               0
338            0.01            3.38             inf             inf       -nan(ind)             inf               0               0               0               0
339            0.01            3.39             inf             inf       -nan(ind)             inf               0               0               0               0
340            0.01             3.4             inf             inf       -nan(ind)             inf               0               0               0               0
341            0.01            3.41             inf             inf       -nan(ind)             inf               0               0               0               0
342            0.01            3.42             inf             inf       -nan(ind)             inf               0               0               0               0
343            0.01            3.43             inf             inf       -nan(ind)             inf               0               0               0               0
344            0.01            3.44             inf             inf       -nan(ind)             inf               0               0               0               0
345            0.01            3.45             inf             inf       -nan(ind)             inf               0               0               0               0
346            0.01            3.46             inf             inf       -nan(ind)             inf               0               0               0               0
347            0.01            3.47             inf             inf       -nan(ind)             inf               0               0               0               0
348            0.01            3.48             inf             inf       -nan(ind)             inf               0               0               0               0
349            0.01            3.49             inf             inf       -nan(ind)             inf               0               0               0               0
350            0.01             3.5             inf             inf       -nan(ind)             inf               0               0               0               0
351            0.01            3.51             inf             inf       -nan(ind)             inf               0               0               0               0
352            0.01            3.52             inf             inf       -nan(ind)             inf               0               0               0               0
353            0.01            3.53             inf             inf       -nan(ind)             inf               0               0               0               0
354            0.01            3.54             inf             inf       -nan(ind)             inf               0               0               0               0
355            0.01            3.55             inf             inf       -nan(ind)             inf               0               0               0               0
356            0.01            3.56             inf             inf       -nan(ind)             inf               0               0               0               0
357            0.01            3.57             inf             inf       -nan(ind)             inf               0               0               0               0
358            0.01            3.58             inf             inf       -nan(ind)             inf               0               0               0               0
359            0.01            3.59             inf             inf       -nan(ind)             inf               0               0               0               0
360            0.01             3.6             inf             inf       -nan(ind)             inf               0               0               0               0
361            0.01            3.61             inf             inf       -nan(ind)             inf               0               0               0               0
362            0.01            3.62             inf             inf       -nan(ind)             inf               0               0               0               0
363            0.01            3.63             inf             inf       -nan(ind)             inf               0               0               0               0
364            0.01            3.64             inf             inf       -nan(ind)             inf               0               0               0               0
365            0.01            3.65             inf             inf       -nan(ind)             inf               0               0               0               0
366            0.01            3.66             inf             inf       -nan(ind)             inf               0               0               0               0
